id,nom,tags,importance,series,valeur,type,repos,description,video,frequence
16,Mouvement I-Y-T à quatre pattes,"Épaules, Stabilité, PDF 2",2-Moyenne,5,3,répétitions,30,"À quatre pattes, soulevez le bras en avant (I), en diagonale (Y) puis sur le côté (T). Stabilisez bien l'omoplate pendant le mouvement.",quadruped+IYT,3
17,Élévations latérales tronc penché,"Épaules, Dos, PDF 2",2-Moyenne,3,12,répétitions,45,"Genoux fléchis, penché vers l'avant, dos droit. Soulevez les poids sur le côté en ligne avec les épaules sans avancer la tête.",bent+over+lateral+raises,3
18,Stabilisation avec adduction horizontale,"Pectoraux, Stabilité, PDF 2",2-Moyenne,3,12,répétitions,45,"Dos sur le ballon (pont), corps en ligne droite. Levez les poids au plafond puis descendez-les sur les côtés avec coudes légèrement fléchis.",stability+ball+chest+fly,3
19,Auto-grandissement postural,"Posture, Cervical, PDF 3",1-Haute,1,10,répétitions,0,"Debout, imaginez une ficelle au sommet de votre tête qui vous tire vers le plafond. Allongez la colonne en respirant normalement.",auto+grandissement+physio,4
20,Extension et rétraction avec élastique,"Dos, Posture, PDF 3",1-Haute,2,10,répétitions,45,"Debout, tirez l'élastique vers l'arrière le plus loin possible en collant les omoplates et en reculant les coudes sans monter les épaules.",band+scapular+retraction,4
21,Toucher les orteils sur une jambe,"Équilibre, Jambes, PDF 3",2-Moyenne,4,10,répétitions,30,"En équilibre sur une jambe, penchez-vous vers l'avant (dos droit) pour toucher le sol. Utilisez les ischio-jambiers pour revenir debout.",single+leg+deadlift,4
22,Squat bulgare (Pied arrière élevé),"Jambes, Fessiers, PDF 3",1-Haute,4,10,répétitions,45,"Position de fente, pied arrière élevé sur une marche. Fléchissez les genoux pour abaisser le corps sans déplacer le poids vers l'avant.",bulgarian+split+squat,4
23,Planche abdominale classique,"Core, Renforcement, PDF 3",1-Haute,1,30,secondes,0,"En appui sur coudes et orteils, menton rentré. Soulevez le bassin pour créer une ligne droite. Ne laissez pas le bas du dos s'arquer.",plank+form,4
24,Pompes sur genoux (Amplitude de mouvement augmentée),"Pectoraux, Renforcement, PDF 3",2-Moyenne,3,10,répétitions,60,"Mains sur haltères, descendez en un bloc (ligne droite tête-genoux). Les haltères permettent de descendre plus bas qu'au sol.",push+ups+dumbbells,4
25,Renforcement en extension (Prone),"Dos, Chaîne postérieure, PDF 3",2-Moyenne,2,10,répétitions,45,"Couché sur le ventre, bras derrière la tête, menton rentré. Soulevez le haut du corps en rapprochant les omoplates sans lever les pieds.",prone+back+extension,4
26,Enfiler l'aiguille (Rotation thoracique),"Mobilité, Thoracique, PDF 3",1-Haute,2,10,répétitions,30,"À quatre pattes, passez une main sous le corps pour créer une rotation, puis ouvrez grand vers le plafond. Suivez la main du regard.",thread+the+needle,4
27,Étirement du muscle trapèze supérieur,"Cervical, Étirement, PDF 3",1-Haute,1,30,secondes,0,Bras derrière le dos pour abaisser l'épaule. Inclinez la tête du côté opposé et tournez-la légèrement. Maintenez l'étirement.,upper+trap+stretch,4
28,Étirement de l'élévateur de l'omoplate,"Cervical, Étirement, PDF 3",1-Haute,1,30,secondes,0,Main derrière la fesse. Tournez la tête à 45 degrés opposés et regardez vers le bas (aisselle). Tirez doucement avec l'autre main.,levator+scapulae+stretch,4
29,Mouvement Bird-Dog (Oiseau-Chien),"Core, Stabilité, Ajouts",1-Haute,3,10,répétitions,45,"À quatre pattes, tendez simultanément le bras et la jambe opposés en gardant le dos parfaitement stable.",bird+dog,3
30,Challenge Planche abdominale (2 minutes),"Challenge, Core, Ajouts",3-Basse,1,120,secondes,0,Maintenez la position de planche parfaite. Respirez profondément. Travail de l'endurance musculaire du centre.,plank+2+minutes,3
31,Série Y-U-T-W-I sur ballon de stabilité,"Dos, Épaules, Ajouts",2-Moyenne,3,10,répétitions,45,"Ventre sur le ballon, enchaînez les positions de bras pour renforcer toute la chaîne postérieure et les fixateurs d'omoplates.",ball+IYT,3
